LID , TYPE , CA , PLAND , NP , PD , LPI , TE , ED , LSI , AREA_MN , AREA_SD , AREA_CV , GYRATE_MN , GYRATE_SD , GYRATE_CV , SHAPE_MN , SHAPE_SD , SHAPE_CV , FRAC_MN , FRAC_SD , FRAC_CV , PARA_MN , PARA_SD , PARA_CV , CIRCLE_MN , CIRCLE_SD , CIRCLE_CV , CONTIG_MN , CONTIG_SD , CONTIG_CV , PAFRAC , TCA , CPLAND , NDCA , DCAD , CORE_MN , CORE_SD , CORE_CV , DCORE_MN , DCORE_SD , DCORE_CV , CAI_MN , CAI_SD , CAI_CV , PROX_MN , PROX_SD , PROX_CV , ENN_MN , ENN_SD , ENN_CV , CLUMPY , PLADJ , IJI , CONNECT , COHESION , DIVISION , MESH , SPLIT , AI , NLSI
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_31 ,     341.4600 ,       1.2699 ,     154.0000 ,       0.5727 ,       0.1988 ,  145560.0000 ,       5.4135 ,      19.6774 ,       2.2173 ,       6.1229 ,     276.1445 ,      59.1233 ,      52.7225 ,      89.1739 ,       1.6342 ,       0.5460 ,      33.4121 ,       1.1070 ,       0.0531 ,       4.7973 ,     678.7613 ,     215.1437 ,      31.6965 ,       0.6393 ,       0.1139 ,      17.8154 ,       0.4606 ,       0.1490 ,      32.3589 ,       1.5558 ,     341.4600 ,       1.2699 ,     154.0000 ,       0.5727 ,       2.2173 ,       6.1229 ,     276.1445 ,       2.2173 ,       6.1229 ,     276.1445 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,     361.9887 ,     467.6931 ,     129.2010 ,       0.6857 ,      67.8440 ,      71.7813 ,       0.0000 ,      87.6435 ,       1.0000 ,       0.2429 ,  110708.9458 ,      68.9711 ,       0.3103
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_24 ,      33.7500 ,       0.1255 ,      51.0000 ,       0.1897 ,       0.0234 ,   16800.0000 ,       0.6248 ,       7.2564 ,       0.6618 ,       1.1530 ,     174.2238 ,      27.9759 ,      19.8385 ,      70.9127 ,       1.1098 ,       0.2020 ,      18.2056 ,       1.0306 ,       0.0332 ,       3.2249 ,     923.4162 ,     352.0225 ,      38.1218 ,       0.3583 ,       0.2673 ,      74.6091 ,       0.2667 ,       0.2494 ,      93.5150 ,       1.2347 ,      33.7500 ,       0.1255 ,      51.0000 ,       0.1897 ,       0.6618 ,       1.1530 ,     174.2238 ,       0.6618 ,       1.1530 ,     174.2238 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,     470.9145 ,     696.6505 ,     147.9357 ,       0.6564 ,      62.2667 ,      35.6319 ,       0.0000 ,      72.5293 ,       1.0000 ,       0.0034 , 8021707.3425 ,      65.6821 ,       0.3432
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_95 ,      13.5000 ,       0.0502 ,       9.0000 ,       0.0335 ,       0.0097 ,    8160.0000 ,       0.3035 ,       5.4400 ,       1.5000 ,       0.6828 ,      45.5192 ,      61.0702 ,      22.6122 ,      37.0267 ,       1.7412 ,       0.4589 ,      26.3579 ,       1.1197 ,       0.0536 ,       4.7855 ,     647.6513 ,     188.8427 ,      29.1581 ,       0.6429 ,       0.1653 ,      25.7126 ,       0.4880 ,       0.1368 ,      28.0253 , NA ,      13.5000 ,       0.0502 ,       9.0000 ,       0.0335 ,       1.5000 ,       0.6828 ,      45.5192 ,       1.5000 ,       0.6828 ,      45.5192 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,    1109.4841 ,    1247.2550 ,     112.4176 ,       0.5962 ,      54.6667 ,      71.3574 ,       0.0000 ,      77.1837 ,       1.0000 ,       0.0009 , 29575062.1604 ,      59.6364 ,       0.4036
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_82 ,      21.3300 ,       0.0793 ,       4.0000 ,       0.0149 ,       0.0485 ,    6510.0000 ,       0.2421 ,       3.5161 ,       5.3325 ,       5.0369 ,      94.4573 ,      92.4598 ,      58.9951 ,      63.8062 ,       1.8356 ,       0.4888 ,      26.6283 ,       1.1074 ,       0.0643 ,       5.8050 ,     648.3952 ,     432.1629 ,      66.6512 ,       0.5002 ,       0.2956 ,      59.1012 ,       0.4988 ,       0.3179 ,      63.7471 , NA ,      21.3300 ,       0.0793 ,       4.0000 ,       0.0149 ,       5.3325 ,       5.0369 ,      94.4573 ,       5.3325 ,       5.0369 ,      94.4573 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,    2384.2132 ,    1863.0627 ,      78.1416 ,       0.8238 ,      77.0042 ,      70.6507 ,       0.0000 ,      89.4340 ,       1.0000 ,       0.0080 , 3359208.8216 ,      82.3928 ,       0.1761
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape.tif , cls_1 ,       0.0179 ,      19.8889 ,       9.0000 ,   10000.0000 ,      16.4444 ,     180.0000 ,    2000.0000 ,       3.6296 ,       0.0020 ,       0.0045 ,     228.5906 ,       1.6396 ,       2.4907 ,     151.9092 ,       1.2278 ,       0.4939 ,      40.2283 ,       1.1532 ,       0.1538 ,      13.3375 ,   28192.9072 ,   11617.9337 ,      41.2087 ,       0.3429 ,       0.3141 ,      91.6034 ,       0.2606 ,       0.2730 ,     104.7691 , NA ,       0.0073 ,       8.1111 ,       5.0000 ,    5555.5556 ,       0.0008 ,       0.0022 ,     274.2328 ,       0.0015 ,       0.0016 ,     106.5151 ,       6.9176 ,      15.1833 ,     219.4876 ,       3.4574 ,       6.0077 ,     173.7633 ,       3.6829 ,       1.4503 ,      39.3785 ,       0.7322 ,      72.6257 ,      79.3188 ,      13.8889 ,      91.7646 ,       0.9726 ,       0.0025 ,      36.5474 ,      78.5498 ,       0.2145
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape.tif , cls_3 ,       0.0479 ,      53.2222 ,       4.0000 ,    4444.4444 ,      50.7778 ,     321.0000 ,    3566.6667 ,       4.4091 ,       0.0120 ,       0.0195 ,     162.6136 ,       3.6027 ,       4.4221 ,     122.7440 ,       1.8807 ,       1.2560 ,      66.7858 ,       1.2965 ,       0.0963 ,       7.4303 ,   17014.8310 ,    6766.2580 ,      39.7668 ,       0.5790 ,       0.0675 ,      11.6649 ,       0.5143 ,       0.2000 ,      38.8875 , NA ,       0.0225 ,      25.0000 ,      11.0000 ,   12222.2222 ,       0.0056 ,       0.0097 ,     172.1802 ,       0.0020 ,       0.0030 ,     145.4373 ,      14.7538 ,      20.1978 ,     136.8985 ,      59.1250 ,      55.5063 ,      93.8796 ,       2.0000 ,       0.0000 ,       0.0000 ,       0.6492 ,      79.7495 ,      98.4480 ,      50.0000 ,      98.1333 ,       0.7419 ,       0.0232 ,       3.8749 ,      83.5886 ,       0.1748
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape.tif , cls_2 ,       0.0242 ,      26.8889 ,      14.0000 ,   15555.5556 ,      10.8889 ,     227.0000 ,    2522.2222 ,       4.1250 ,       0.0017 ,       0.0027 ,     159.0109 ,       1.4862 ,       1.5885 ,     106.8794 ,       1.2012 ,       0.3173 ,      26.4173 ,       1.2347 ,       0.2383 ,      19.3016 ,   24051.3017 ,   11159.9188 ,      46.4005 ,       0.4737 ,       0.2286 ,      48.2612 ,       0.3575 ,       0.2674 ,      74.7963 ,       1.2661 ,       0.0088 ,       9.7778 ,       8.0000 ,    8888.8889 ,       0.0006 ,       0.0013 ,     204.1284 ,       0.0011 ,       0.0012 ,     109.1856 ,      11.1716 ,      17.2197 ,     154.1386 ,       7.3645 ,       8.1420 ,     110.5572 ,       3.1969 ,       1.0322 ,      32.2889 ,       0.6974 ,      72.7273 ,      70.0272 ,      16.4835 ,      86.5997 ,       0.9818 ,       0.0016 ,      54.8780 ,      77.8761 ,       0.2212
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_1.tif , cls_1 ,       0.0873 ,      80.1653 ,       5.0000 ,    4591.3682 ,      72.3600 ,     100.0000 ,     918.2736 ,       1.8333 ,       0.0175 ,       0.0308 ,     176.5165 ,       3.4733 ,       4.3803 ,     126.1116 ,       1.1327 ,       0.1661 ,      14.6673 ,       1.0958 ,       0.0963 ,       8.7847 ,   22884.3486 ,   16307.8318 ,      71.2619 ,       0.3610 ,       0.2969 ,      82.2357 ,       0.3971 ,       0.4054 ,     102.0977 , NA ,       0.0701 ,      64.3710 ,       2.0000 ,    1836.5473 ,       0.0140 ,       0.0258 ,     184.3711 ,       0.0351 ,       0.0306 ,      87.1612 ,      27.8997 ,      35.2205 ,     126.2397 ,      65.5000 ,      74.4634 ,     113.6846 ,       2.0000 ,       0.0000 ,       0.0000 ,       0.8505 ,      93.6999 , NA ,      40.0000 ,      98.4650 ,       0.4710 ,       0.0576 ,       1.8904 ,      97.0344 ,       0.1142
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_1.tif , cls_0 ,       0.0216 ,      19.8347 ,       2.0000 ,    1836.5473 ,      19.7429 ,     100.0000 ,     918.2736 ,       1.8667 ,       0.0108 ,       0.0107 ,      99.0741 ,       3.5640 ,       3.0640 ,      85.9707 ,       1.4000 ,       0.4000 ,      28.5714 ,       1.1137 ,       0.1137 ,      10.2074 ,   22511.6279 ,   17488.3721 ,      77.6860 ,       0.3327 ,       0.3327 ,     100.0000 ,       0.4291 ,       0.4291 ,     100.0000 , NA ,       0.0142 ,      13.0395 ,       1.0000 ,     918.2736 ,       0.0071 ,       0.0071 ,     100.0000 ,       0.0142 ,       0.0000 ,       0.0000 ,      33.0233 ,      33.0233 ,     100.0000 ,      21.6000 ,      21.4000 ,      99.0741 ,       2.2361 ,       0.0000 ,       0.0000 ,       0.9193 ,      87.0370 , NA ,     100.0000 ,      95.8498 ,       0.9610 ,       0.0042 ,      25.6548 ,      93.5323 ,       0.0647
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_2.tif , cls_1 ,       0.0873 ,      80.1653 ,       4.0000 ,    3673.0946 ,      79.3388 ,     251.0000 ,    2304.8669 ,       3.1500 ,       0.0218 ,       0.0373 ,     170.8264 ,       3.8102 ,       5.4982 ,     144.3031 ,       1.5542 ,       0.8484 ,      54.5885 ,       1.1810 ,       0.1188 ,      10.0594 ,   23530.0926 ,   13250.6266 ,      56.3135 ,       0.3495 ,       0.2044 ,      58.4966 ,       0.3799 ,       0.3351 ,      88.2065 , NA ,       0.0597 ,      54.8209 ,       3.0000 ,    2754.8209 ,       0.0149 ,       0.0258 ,     172.8185 ,       0.0199 ,       0.0279 ,     140.3555 ,      21.4120 ,      28.2945 ,     132.1431 ,     132.8431 ,      90.2068 ,      67.9048 ,       2.2500 ,       0.4330 ,      19.2450 ,       0.6142 ,      89.1753 , NA ,      66.6667 ,      99.4147 ,       0.3705 ,       0.0686 ,       1.5886 ,      92.3488 ,       0.2945
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_2.tif , cls_0 ,       0.0216 ,      19.8347 ,       9.0000 ,    8264.4628 ,      17.4472 ,     251.0000 ,    2304.8669 ,       4.2667 ,       0.0024 ,       0.0059 ,     244.8308 ,       1.4501 ,       2.0576 ,     141.8947 ,       1.3643 ,       0.7433 ,      54.4860 ,       1.2055 ,       0.2036 ,      16.8918 ,   29777.7778 ,   10418.4073 ,      34.9872 ,       0.3303 ,       0.3008 ,      91.0825 ,       0.2295 ,       0.2458 ,     107.0923 , NA ,       0.0078 ,       7.1625 ,       4.0000 ,    3673.0946 ,       0.0009 ,       0.0024 ,     278.7865 ,       0.0020 ,       0.0020 ,     102.4037 ,       5.6140 ,      12.7311 ,     226.7725 ,      18.4311 ,      17.3101 ,      93.9177 ,       2.5642 ,       0.8708 ,      33.9597 ,       0.6959 ,      70.3704 , NA ,      36.1111 ,      93.5556 ,       0.9694 ,       0.0033 ,      32.7078 ,      75.6219 ,       0.2438
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_3.tif , cls_0 ,       0.0216 ,      19.8347 ,       7.0000 ,    6427.9155 ,      10.2847 ,     140.0000 ,    1285.5831 ,       3.2333 ,       0.0031 ,       0.0035 ,     114.6355 ,       2.1291 ,       1.4185 ,      66.6261 ,       1.2908 ,       0.2301 ,      17.8244 ,       1.1947 ,       0.0941 ,       7.8760 ,   17299.1438 ,   11113.9496 ,      64.2457 ,       0.5041 ,       0.2241 ,      44.4542 ,       0.5335 ,       0.2687 ,      50.3569 , NA ,       0.0088 ,       8.0808 ,       5.0000 ,    4591.3682 ,       0.0013 ,       0.0020 ,     159.9328 ,       0.0018 ,       0.0022 ,     124.1500 ,      23.0173 ,      17.4016 ,      75.6022 ,       6.8071 ,       9.4714 ,     139.1386 ,       5.9464 ,       5.5739 ,      93.7352 ,       0.7921 ,      77.5463 ,      -0.0000 ,      19.0476 ,      88.1428 ,       0.9870 ,       0.0014 ,      76.8880 ,      83.3333 ,       0.1667
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_3.tif , cls_1 ,       0.0327 ,      30.0275 ,       4.0000 ,    3673.0946 ,      22.8650 ,     292.0000 ,    2681.3590 ,       4.1892 ,       0.0082 ,       0.0098 ,     120.3429 ,       3.7497 ,       2.9060 ,      77.5003 ,       1.9771 ,       0.8736 ,      44.1882 ,       1.2783 ,       0.1672 ,      13.0771 ,   18332.1208 ,   12648.3209 ,      68.9954 ,       0.5339 ,       0.3098 ,      58.0196 ,       0.5219 ,       0.3051 ,      58.4636 , NA ,       0.0124 ,      11.3866 ,      10.0000 ,    9182.7365 ,       0.0031 ,       0.0041 ,     132.0809 ,       0.0012 ,       0.0020 ,     159.2696 ,      23.9087 ,      15.3501 ,      64.2029 ,      16.3500 ,      19.6761 ,     120.3429 ,       2.2361 ,       0.0000 ,       0.0000 ,       0.7267 ,      76.2997 ,      99.8781 ,      33.3333 ,      95.1170 ,       0.9448 ,       0.0060 ,      18.1203 ,      80.8752 ,       0.1912
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_3.tif , cls_2 ,       0.0546 ,      50.1377 ,       3.0000 ,    2754.8209 ,      42.7916 ,     152.0000 ,    1395.7759 ,       2.2553 ,       0.0182 ,       0.0203 ,     111.7183 ,       4.8612 ,       3.9057 ,      80.3435 ,       1.3729 ,       0.3498 ,      25.4809 ,       1.1076 ,       0.0839 ,       7.5782 ,   16433.0599 ,   16691.8520 ,     101.5748 ,       0.4106 ,       0.2906 ,      70.7681 ,       0.5755 ,       0.4080 ,      70.8974 , NA ,       0.0394 ,      36.1800 ,       3.0000 ,    2754.8209 ,       0.0131 ,       0.0155 ,     118.0249 ,       0.0131 ,       0.0111 ,      84.4968 ,      43.9516 ,      31.9289 ,      72.6457 ,      19.4583 ,      27.4299 ,     140.9674 ,       4.4242 ,       2.2568 ,      51.0097 ,       0.8868 ,      90.2930 ,      -0.0000 ,      33.3333 ,      97.5335 ,       0.8116 ,       0.0205 ,       5.3086 ,      94.3541 ,       0.0566
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_4.tif , cls_2 ,       0.0546 ,      50.1377 ,      12.0000 ,   11019.2837 ,      22.8650 ,     439.0000 ,    4031.2213 ,       5.4894 ,       0.0046 ,       0.0090 ,     197.3713 ,       1.9997 ,       2.4277 ,     121.4073 ,       1.5575 ,       0.7867 ,      50.5116 ,       1.2798 ,       0.2138 ,      16.7063 ,   25776.1085 ,   11082.5725 ,      42.9955 ,       0.4667 ,       0.2800 ,      59.9999 ,       0.3258 ,       0.2729 ,      83.7565 ,       1.4326 ,       0.0254 ,      23.3242 ,      12.0000 ,   11019.2837 ,       0.0021 ,       0.0047 ,     221.5847 ,       0.0021 ,       0.0042 ,     200.4938 ,      10.1801 ,      19.2159 ,     188.7588 ,      52.9088 ,      30.3352 ,      57.3348 ,       2.4971 ,       0.7174 ,      28.7305 ,       0.5951 ,      76.3736 ,      46.2463 ,      30.3030 ,      94.9889 ,       0.8974 ,       0.0112 ,       9.7510 ,      79.8086 ,       0.2025
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_4.tif , cls_1 ,       0.0327 ,      30.0275 ,      17.0000 ,   15610.6520 ,      20.5693 ,     630.0000 ,    5785.1240 ,       8.9189 ,       0.0019 ,       0.0052 ,     267.9768 ,       1.5757 ,       2.1720 ,     137.8435 ,       1.6696 ,       1.4171 ,      84.8790 ,       1.2874 ,       0.2413 ,      18.7439 ,   28299.9215 ,    8327.2515 ,      29.4250 ,       0.4338 ,       0.2901 ,      66.8754 ,       0.2590 ,       0.1981 ,      76.4668 ,       1.6749 ,       0.0025 ,       2.2957 ,      14.0000 ,   12855.8310 ,       0.0001 ,       0.0005 ,     317.3389 ,       0.0002 ,       0.0001 ,      76.8375 ,       2.8236 ,       4.6442 ,     164.4783 ,      32.5878 ,      21.8931 ,      67.1819 ,       2.0417 ,       0.0900 ,       4.4079 ,       0.3213 ,      49.5413 ,      95.1763 ,      22.0588 ,      93.5748 ,       0.9566 ,       0.0047 ,      23.0459 ,      52.5122 ,       0.4749
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_4.tif , cls_0 ,       0.0216 ,      19.8347 ,      17.0000 ,   15610.6520 ,      10.2847 ,     277.0000 ,    2543.6180 ,       5.0333 ,       0.0013 ,       0.0030 ,     235.7368 ,       1.1214 ,       1.3185 ,     117.5775 ,       1.3023 ,       0.4970 ,      38.1606 ,       1.2315 ,       0.3203 ,      26.0119 ,   34120.8703 ,    9662.9787 ,      28.3198 ,       0.2634 ,       0.3210 ,     121.8588 ,       0.1437 ,       0.2296 ,     159.8359 ,       1.4523 ,       0.0070 ,       6.4279 ,       4.0000 ,    3673.0946 ,       0.0004 ,       0.0012 ,     283.9373 ,       0.0018 ,       0.0017 ,      96.3412 ,       4.4060 ,      12.0828 ,     274.2334 ,       6.4863 ,       8.1767 ,     126.0602 ,       2.5643 ,       0.6514 ,      25.4025 ,       0.6245 ,      65.0463 ,      62.2786 ,      13.2353 ,      88.3848 ,       0.9848 ,       0.0017 ,      65.8991 ,      69.9005 ,       0.3010
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_5.tif , cls_2 ,       0.0546 ,      71.6535 ,      12.0000 ,   15748.0315 ,      32.6772 ,      43.0000 ,     564.3045 ,       5.4894 ,       0.0046 ,       0.0090 ,     197.3713 ,       1.9997 ,       2.4277 ,     121.4073 ,       1.5575 ,       0.7867 ,      50.5116 ,       1.2798 ,       0.2138 ,      16.7063 ,   25776.1085 ,   11082.5725 ,      42.9955 ,       0.4667 ,       0.2800 ,      59.9999 ,       0.3258 ,       0.2729 ,      83.7565 ,       1.4326 ,       0.0254 ,      33.3333 ,      12.0000 ,   15748.0315 ,       0.0021 ,       0.0047 ,     221.5847 ,       0.0021 ,       0.0042 ,     200.4938 ,      10.1801 ,      19.2159 ,     188.7588 ,      52.9088 ,      30.3352 ,      57.3348 ,       2.4971 ,       0.7174 ,      28.7305 ,       0.2877 ,      76.3736 , NA ,      30.3030 ,      95.5727 ,       0.7905 ,       0.0160 ,       4.7742 ,      79.8086 ,       0.2810
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_5.tif , cls_0 ,       0.0216 ,      28.3465 ,      17.0000 ,   22309.7113 ,      14.6982 ,      43.0000 ,     564.3045 ,       5.0333 ,       0.0013 ,       0.0030 ,     235.7368 ,       1.1214 ,       1.3185 ,     117.5775 ,       1.3023 ,       0.4970 ,      38.1606 ,       1.2315 ,       0.3203 ,      26.0119 ,   34120.8703 ,    9662.9787 ,      28.3198 ,       0.2634 ,       0.3210 ,     121.8588 ,       0.1437 ,       0.2296 ,     159.8359 ,       1.4523 ,       0.0070 ,       9.1864 ,       4.0000 ,    5249.3438 ,       0.0004 ,       0.0012 ,     283.9373 ,       0.0018 ,       0.0017 ,      96.3412 ,       4.4060 ,      12.0828 ,     274.2334 ,       6.4863 ,       8.1767 ,     126.0602 ,       2.5643 ,       0.6514 ,      25.4025 ,       0.5799 ,      65.0463 , NA ,      13.2353 ,      88.9280 ,       0.9690 ,       0.0024 ,      32.2652 ,      69.9005 ,       0.3010
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_6.tif , cls_1 ,       0.0272 ,      24.9770 ,      78.0000 ,   71625.3444 ,       2.2957 ,     806.0000 ,    7401.2856 ,      12.6970 ,       0.0003 ,       0.0004 ,     128.6344 ,       0.8557 ,       0.6414 ,      74.9509 ,       1.2945 ,       0.5294 ,      40.8989 ,       1.2969 ,       0.3502 ,      27.0025 ,   35155.4961 ,    5714.9830 ,      16.2563 ,       0.3433 ,       0.3367 ,      98.0720 ,       0.1166 ,       0.1265 ,     108.4684 ,       1.7375 ,       0.0001 ,       0.0918 ,       1.0000 ,     918.2736 ,       0.0000 ,       0.0000 ,     877.4964 ,       0.0001 ,       0.0000 ,       0.0000 ,       0.0611 ,       0.5357 ,     877.4964 ,       4.0694 ,       2.7049 ,      66.4697 ,       2.1295 ,       0.2346 ,      11.0182 ,      -0.0206 ,      22.9779 ,      93.3957 ,       9.5238 ,      63.7373 ,       0.9979 ,       0.0002 ,     470.9774 ,      24.4618 ,       0.7554
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_6.tif , cls_2 ,       0.0546 ,      50.1377 ,       8.0000 ,    7346.1892 ,      47.6584 ,    1024.0000 ,    9403.1221 ,      11.5957 ,       0.0068 ,       0.0170 ,     249.6737 ,       2.2566 ,       3.7841 ,     167.6916 ,       2.5170 ,       3.2339 ,     128.4851 ,       1.3749 ,       0.3013 ,      21.9155 ,   30770.7129 ,    6508.1831 ,      21.1506 ,       0.4571 ,       0.2764 ,      60.4743 ,       0.2018 ,       0.1572 ,      77.8926 , NA ,       0.0029 ,       2.6630 ,      19.0000 ,   17447.1993 ,       0.0004 ,       0.0010 ,     264.5751 ,       0.0002 ,       0.0001 ,      53.6426 ,       0.6985 ,       1.8479 ,     264.5751 ,     114.9688 ,      40.9158 ,      35.5886 ,       2.0000 ,       0.0000 ,       0.0000 ,       0.0443 ,      50.0916 ,      99.9604 ,      32.1429 ,      98.2898 ,       0.7727 ,       0.0248 ,       4.3995 ,      52.3445 ,       0.4779
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\landscape_stack_6.tif , cls_0 ,       0.0271 ,      24.8852 ,      83.0000 ,   76216.7126 ,       3.4894 ,     782.0000 ,    7180.8999 ,      12.3636 ,       0.0003 ,       0.0005 ,     139.0238 ,       0.8169 ,       0.6177 ,      75.6193 ,       1.2405 ,       0.4409 ,      35.5393 ,       1.3122 ,       0.3602 ,      27.4478 ,   34609.0477 ,    6598.8502 ,      19.0668 ,       0.3595 ,       0.3246 ,      90.2763 ,       0.1284 ,       0.1389 ,     108.1139 ,       1.6789 ,       0.0002 ,       0.1837 ,       2.0000 ,    1836.5473 ,       0.0000 ,       0.0000 ,     636.3961 ,       0.0001 ,       0.0000 ,       0.0000 ,       0.1522 ,       1.1248 ,     739.0638 ,       4.1919 ,       2.5049 ,      59.7565 ,       2.0963 ,       0.2263 ,      10.7965 ,       0.0192 ,      24.7232 ,      94.3192 ,       9.1978 ,      62.3187 ,       0.9978 ,       0.0002 ,     457.0023 ,      26.3261 ,       0.7367
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\podlasie_ccilc.tif , cls_210 ,       0.0000 ,       0.6977 ,      47.0000 , 30801029.9340 ,       0.1834 ,       3.8490 ,   25224.0775 ,       9.6957 ,       0.0000 ,       0.0000 ,     210.9803 ,       0.0060 ,       0.0068 ,     114.0488 ,       1.3654 ,       0.5507 ,      40.3300 ,       0.9217 ,       0.0882 ,       9.5702 , 6698418.0797 , 2731525.5140 ,      40.7787 ,       0.5985 ,       0.1800 ,      30.0699 ,       0.4415 ,       0.2156 ,      48.8381 ,       1.4043 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       4.3038 ,       8.6861 ,     201.8240 ,       0.0477 ,       0.0649 ,     136.1189 ,       0.7370 ,      71.7244 ,      73.4216 ,     100.0000 ,      88.8812 ,       1.0000 ,       0.0000 ,  177096.8599 ,      73.8790 ,       0.2612
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\podlasie_ccilc.tif , cls_10 ,       0.0000 ,      28.4936 ,    1455.0000 , 953521245.8296 ,       6.2107 ,     214.1220 , 1403229.3897 ,      81.6886 ,       0.0000 ,       0.0000 ,    1018.4799 ,       0.0051 ,       0.0095 ,     186.0227 ,       1.6618 ,       1.4508 ,      87.3085 ,       0.8951 ,       0.1595 ,      17.8214 , 8968682.5785 , 2413922.3255 ,      26.9150 ,       0.6121 ,       0.1682 ,      27.4791 ,       0.2936 ,       0.1632 ,      55.5798 ,       1.6678 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,     272.2382 ,     561.7297 ,     206.3376 ,       0.0072 ,       0.0031 ,      43.3937 ,       0.4838 ,      62.7996 ,      55.8522 ,     100.0000 ,      97.3978 ,       0.9942 ,       0.0000 ,     171.1187 ,      63.0869 ,       0.3691
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\podlasie_ccilc.tif , cls_30 ,       0.0000 ,       9.5932 ,    2636.0000 , 1727479040.5545 ,       0.1368 ,     115.3050 ,  755641.0120 ,      75.3125 ,       0.0000 ,       0.0000 ,     150.0370 ,       0.0033 ,       0.0024 ,      73.7676 ,       1.3626 ,       0.4613 ,      33.8519 ,       0.9306 ,       0.0639 ,       6.8624 , 9459789.9732 , 2141496.7175 ,      22.6379 ,       0.6137 ,       0.1387 ,      22.5960 ,       0.2553 ,       0.1329 ,      52.0739 ,       1.6586 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       5.5322 ,       4.4490 ,      80.4192 ,       0.0086 ,       0.0040 ,      47.1754 ,       0.3480 ,      40.7316 ,      63.6754 ,     100.0000 ,      70.4719 ,       1.0000 ,       0.0000 ,   88102.0011 ,      41.0547 ,       0.5895
